epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1458.75,2.20877,0.43278,0.76225,2.17935,0.00332841,0.00332841,0.00332841
2,3102.34,1.66511,0.39209,0.78861,2.52707,0.00663976,0.00663976,0.00663976
3,4849.36,1.57049,0.41553,0.82186,2.00951,0.00992911,0.00992911,0.00992911
4,6580.23,1.51323,0.52813,0.84707,1.69272,0.009901,0.009901,0.009901
5,8398.44,1.39421,0.51583,0.84407,1.77511,0.009868,0.009868,0.009868
6,10176.8,1.33095,0.52008,0.86936,1.66628,0.009835,0.009835,0.009835
7,11947.3,1.26165,0.5038,0.85326,1.93391,0.009802,0.009802,0.009802
8,13720.8,1.20512,0.56642,0.87131,1.61881,0.009769,0.009769,0.009769
9,15477.9,1.16081,0.53007,0.85839,1.65804,0.009736,0.009736,0.009736
10,17319.3,1.11095,0.58111,0.8844,1.55946,0.009703,0.009703,0.009703
11,19351.1,1.06243,0.60968,0.88864,1.52975,0.00967,0.00967,0.00967
12,21343.3,1.01674,0.62056,0.89289,1.49979,0.009637,0.009637,0.009637
13,23432.5,0.98609,0.63674,0.89236,1.48639,0.009604,0.009604,0.009604
14,25512.1,0.95067,0.6455,0.89475,1.51652,0.009571,0.009571,0.009571
15,27587.8,0.91014,0.65682,0.8897,1.53331,0.009538,0.009538,0.009538
16,29652.1,0.87697,0.66275,0.88944,1.58096,0.009505,0.009505,0.009505
17,31758.2,0.85543,0.66867,0.89262,1.54985,0.009472,0.009472,0.009472
18,33808.3,0.81869,0.66717,0.89032,1.58418,0.009439,0.009439,0.009439
19,35903.5,0.7916,0.6761,0.8897,1.59641,0.009406,0.009406,0.009406
20,37984.6,0.77694,0.67831,0.88466,1.61101,0.009373,0.009373,0.009373
21,40005.4,0.73852,0.68433,0.88749,1.60548,0.00934,0.00934,0.00934
22,42022.9,0.72182,0.6868,0.88661,1.62817,0.009307,0.009307,0.009307
23,44104.3,0.69573,0.68786,0.88537,1.62603,0.009274,0.009274,0.009274
24,46160.2,0.67948,0.69273,0.88555,1.63511,0.009241,0.009241,0.009241
25,48268.8,0.65618,0.69326,0.88546,1.63742,0.009208,0.009208,0.009208
26,50311.4,0.64434,0.69344,0.88404,1.63861,0.009175,0.009175,0.009175
27,52323.8,0.62034,0.6945,0.88351,1.64645,0.009142,0.009142,0.009142
28,54311.1,0.6102,0.69538,0.88227,1.66286,0.009109,0.009109,0.009109
29,56332.5,0.58687,0.69459,0.88095,1.67459,0.009076,0.009076,0.009076
30,58343.7,0.58444,0.69397,0.88015,1.67023,0.009043,0.009043,0.009043
31,60390.8,0.56092,0.6937,0.87971,1.67159,0.00901,0.00901,0.00901
32,62531.8,0.55697,0.69335,0.88006,1.67068,0.008977,0.008977,0.008977
33,64545.2,0.54141,0.69441,0.88059,1.67854,0.008944,0.008944,0.008944
34,66589.3,0.53192,0.69476,0.87971,1.67507,0.008911,0.008911,0.008911
35,68660.1,0.52242,0.69397,0.87944,1.67456,0.008878,0.008878,0.008878
36,70766.3,0.51773,0.69423,0.87989,1.67867,0.008845,0.008845,0.008845
37,72792,0.49819,0.69326,0.87936,1.67683,0.008812,0.008812,0.008812
38,74826.8,0.49983,0.69335,0.87865,1.67625,0.008779,0.008779,0.008779
39,76920.2,0.49605,0.69308,0.87891,1.67308,0.008746,0.008746,0.008746
40,79013.2,0.48608,0.69264,0.87927,1.67109,0.008713,0.008713,0.008713
41,81114.7,0.47539,0.69308,0.87909,1.66608,0.00868,0.00868,0.00868
42,83229.6,0.47516,0.6922,0.87927,1.667,0.008647,0.008647,0.008647
43,85266.4,0.46677,0.69202,0.87944,1.67132,0.008614,0.008614,0.008614
44,87359.8,0.45329,0.69291,0.87891,1.66284,0.008581,0.008581,0.008581
45,89392,0.46299,0.69264,0.87874,1.66658,0.008548,0.008548,0.008548
46,91459.9,0.44233,0.69282,0.87732,1.66351,0.008515,0.008515,0.008515
47,93556.7,0.4476,0.69255,0.87732,1.67501,0.008482,0.008482,0.008482
48,95610.2,0.43376,0.69246,0.8775,1.66632,0.008449,0.008449,0.008449
49,97739.3,0.43389,0.69273,0.87661,1.66607,0.008416,0.008416,0.008416
50,99899,0.43034,0.69273,0.87608,1.67606,0.008383,0.008383,0.008383
51,102066,0.42012,0.69353,0.87564,1.67095,0.00835,0.00835,0.00835
52,104174,0.41129,0.69317,0.87608,1.68375,0.008317,0.008317,0.008317
53,106290,0.41177,0.69264,0.87538,1.66934,0.008284,0.008284,0.008284
54,108391,0.41667,0.69397,0.87529,1.66632,0.008251,0.008251,0.008251
55,110449,0.40097,0.69476,0.8752,1.66762,0.008218,0.008218,0.008218
56,112571,0.40559,0.69653,0.87502,1.67315,0.008185,0.008185,0.008185
57,114717,0.40922,0.69689,0.87485,1.67378,0.008152,0.008152,0.008152
58,116838,0.39409,0.69583,0.87502,1.66947,0.008119,0.008119,0.008119
59,118920,0.39712,0.69644,0.8752,1.67387,0.008086,0.008086,0.008086
60,121008,0.39466,0.69804,0.87502,1.67563,0.008053,0.008053,0.008053
61,123055,0.38373,0.69768,0.876,1.67224,0.00802,0.00802,0.00802
62,125151,0.37342,0.69804,0.87626,1.6692,0.007987,0.007987,0.007987
63,127279,0.37213,0.69759,0.87679,1.67352,0.007954,0.007954,0.007954
64,129442,0.38679,0.69751,0.87608,1.67856,0.007921,0.007921,0.007921
65,131603,0.37375,0.69777,0.87546,1.67125,0.007888,0.007888,0.007888
66,133765,0.36495,0.69751,0.87467,1.67316,0.007855,0.007855,0.007855
67,135862,0.36739,0.69795,0.87387,1.67695,0.007822,0.007822,0.007822
68,137943,0.3721,0.69804,0.87299,1.68764,0.007789,0.007789,0.007789
69,140047,0.36493,0.69689,0.87308,1.6855,0.007756,0.007756,0.007756
70,142103,0.36074,0.69812,0.87228,1.70086,0.007723,0.007723,0.007723
71,144195,0.36511,0.69759,0.87263,1.70034,0.00769,0.00769,0.00769
72,146208,0.36036,0.69804,0.87219,1.70661,0.007657,0.007657,0.007657
73,148212,0.34661,0.69795,0.87157,1.70878,0.007624,0.007624,0.007624
74,150291,0.34862,0.69883,0.87201,1.7071,0.007591,0.007591,0.007591
75,152289,0.35039,0.69874,0.8729,1.71258,0.007558,0.007558,0.007558
76,154265,0.34027,0.69901,0.87175,1.72036,0.007525,0.007525,0.007525
77,156388,0.34314,0.6991,0.87308,1.72929,0.007492,0.007492,0.007492
78,158445,0.33796,0.69919,0.87334,1.72706,0.007459,0.007459,0.007459
79,160516,0.33309,0.69963,0.8729,1.73356,0.007426,0.007426,0.007426
80,162548,0.33862,0.70016,0.87405,1.73219,0.007393,0.007393,0.007393
81,164574,0.33171,0.69954,0.87378,1.73414,0.00736,0.00736,0.00736
82,166651,0.32205,0.69989,0.87423,1.73972,0.007327,0.007327,0.007327
83,168716,0.33282,0.69972,0.87334,1.75678,0.007294,0.007294,0.007294
84,170792,0.33285,0.70007,0.8737,1.74939,0.007261,0.007261,0.007261
85,172880,0.32361,0.69936,0.87405,1.75172,0.007228,0.007228,0.007228
86,174917,0.32002,0.70157,0.87414,1.76765,0.007195,0.007195,0.007195
87,176982,0.31477,0.70096,0.87423,1.76548,0.007162,0.007162,0.007162
88,179089,0.31815,0.70113,0.87449,1.77224,0.007129,0.007129,0.007129
89,181283,0.30836,0.70255,0.87396,1.77625,0.007096,0.007096,0.007096
90,183423,0.33045,0.70246,0.87431,1.78319,0.007063,0.007063,0.007063
91,185587,0.30306,0.70131,0.87431,1.77844,0.00703,0.00703,0.00703
92,187689,0.321,0.70042,0.8744,1.77785,0.006997,0.006997,0.006997
93,189852,0.31302,0.70034,0.8744,1.78795,0.006964,0.006964,0.006964
94,191987,0.307,0.70034,0.87476,1.79303,0.006931,0.006931,0.006931
95,194131,0.29826,0.69954,0.8744,1.79638,0.006898,0.006898,0.006898
96,196288,0.30869,0.69981,0.87396,1.79693,0.006865,0.006865,0.006865
97,198331,0.30272,0.69972,0.87396,1.80069,0.006832,0.006832,0.006832
98,200607,0.30414,0.69857,0.87458,1.79622,0.006799,0.006799,0.006799
99,202742,0.29827,0.69777,0.87485,1.79702,0.006766,0.006766,0.006766
100,205058,0.29917,0.69812,0.87476,1.80999,0.006733,0.006733,0.006733
101,207402,0.29032,0.69751,0.87431,1.81035,0.0067,0.0067,0.0067
102,209721,0.2913,0.69724,0.8744,1.80552,0.006667,0.006667,0.006667
103,212013,0.28851,0.69644,0.87458,1.81032,0.006634,0.006634,0.006634
104,214433,0.29073,0.69662,0.87467,1.81761,0.006601,0.006601,0.006601
105,216736,0.28268,0.69662,0.87396,1.81805,0.006568,0.006568,0.006568
106,218948,0.28492,0.69644,0.87405,1.82453,0.006535,0.006535,0.006535
107,221241,0.28713,0.69627,0.87511,1.81827,0.006502,0.006502,0.006502
108,223468,0.28713,0.69521,0.87502,1.82328,0.006469,0.006469,0.006469
109,225863,0.27785,0.69618,0.87485,1.8316,0.006436,0.006436,0.006436
110,227830,0.27006,0.69662,0.87405,1.82674,0.006403,0.006403,0.006403
111,229847,0.27373,0.69768,0.87316,1.8436,0.00637,0.00637,0.00637
112,231924,0.27768,0.69768,0.87263,1.83706,0.006337,0.006337,0.006337
113,233960,0.27121,0.69759,0.87343,1.84258,0.006304,0.006304,0.006304
114,236092,0.27459,0.69698,0.8729,1.84328,0.006271,0.006271,0.006271
115,238172,0.27628,0.69812,0.87378,1.84638,0.006238,0.006238,0.006238
116,240197,0.27372,0.6991,0.87361,1.84749,0.006205,0.006205,0.006205
117,242268,0.27154,0.69883,0.87325,1.85941,0.006172,0.006172,0.006172
118,244362,0.26665,0.69848,0.87334,1.86033,0.006139,0.006139,0.006139
119,246639,0.26734,0.69848,0.87281,1.86556,0.006106,0.006106,0.006106
120,248717,0.27122,0.69839,0.87281,1.87502,0.006073,0.006073,0.006073
121,250746,0.26507,0.69821,0.8737,1.87631,0.00604,0.00604,0.00604
122,252895,0.26986,0.69848,0.87343,1.87666,0.006007,0.006007,0.006007
123,255029,0.26444,0.69848,0.87334,1.87997,0.005974,0.005974,0.005974
124,257178,0.2578,0.69892,0.8729,1.8873,0.005941,0.005941,0.005941
125,259275,0.25295,0.69874,0.87325,1.88767,0.005908,0.005908,0.005908
